Working,Lazy,time
0,1,0
4,0,2.001751
7,1,4.00288
6,6,6.005973
10,6,8.007969
9,11,10.0092
14,10,12.02393
16,12,14.02981
19,13,16.04067
22,14,18.05365
19,20,20.07442
19,24,22.08138
25,22,24.09973
26,25,26.10536
30,25,28.12815
26,33,30.15967
34,29,32.20287
41,25,34.24141
34,36,36.27913
39,35,38.28176
34,44,40.3274
39,43,42.36428
37,49,44.40176
40,49,46.44858
41,52,48.45631
46,51,50.48132
49,52,52.49429
49,55,54.51183
57,49,56.54648
54,52,58.61064
53,53,60.63286
54,54,62.69564
59,53,64.7351
48,64,66.78129
48,64,68.84976
61,54,70.91666
60,58,72.97848
66,55,75.02129
58,66,77.06494
59,69,79.08838
60,71,81.15138
60,73,83.21515
61,72,85.24982
63,70,87.32515
64,69,89.37075
59,74,91.44783
64,69,93.50852
59,74,95.52352
61,72,97.57997
64,69,99.6134
57,76,101.6224
58,75,103.6396
55,78,105.6995
53,82,107.7357
55,83,109.7562
60,81,111.7744
64,79,113.8008
63,83,115.846
74,76,117.8476
81,72,119.9143
84,73,122.0018
84,76,124.0263
81,83,126.0482
84,83,128.1161
79,92,130.1759
81,94,132.232
84,94,134.2771
85,96,136.2998
86,98,138.3854
82,106,140.4344
90,101,142.5343
100,95,144.6242
86,112,146.7168
87,115,148.7168
88,114,150.7168
93,112,152.7168
90,117,154.7168
90,120,156.7168
95,118,158.7168
101,116,160.7168
112,108,162.7168
111,112,164.7168
109,117,166.7168
113,113,168.7168
114,112,170.7168
115,111,172.7168
111,117,174.7168
106,123,176.7168
108,122,178.7168
111,121,180.7168
107,125,182.7168
110,123,184.7168
98,137,186.7168
101,136,188.7168
104,137,190.7168
122,122,192.7168
121,126,194.7168
117,134,196.7168
117,137,198.7168
116,141,200.7168
118,143,202.7168
119,143,204.7168
117,145,206.7168
113,149,208.7168
115,147,210.7168
126,136,212.7168
121,143,214.7168
124,143,216.7168
123,147,218.7168
130,144,220.7168
140,137,222.7168
140,140,224.7168
132,152,226.7168
134,153,228.7168
137,152,230.7168
143,146,232.7168
137,154,234.7168
138,154,236.7168
143,152,238.7168
140,157,240.7168
146,152,242.7168
138,160,244.7168
145,154,246.7168
155,146,248.7168
155,149,250.7168
147,157,252.7168
146,158,254.7168
148,156,256.7168
149,157,258.7168
148,159,260.7168
142,169,262.7168
142,172,264.7168
156,160,266.7168
157,159,268.7168
155,163,270.7168
166,153,272.7168
169,154,274.7168
144,181,276.7168
145,183,278.7168
143,185,280.7168
166,165,282.7168
163,171,284.7168
154,184,286.7168
157,184,288.7168
160,184,290.7168
160,187,292.7168
160,190,294.7168
155,198,296.7168
165,192,298.7168
165,195,300.7168
176,187,302.7168
173,194,304.7168
176,193,306.7168
177,192,308.7168
180,192,310.7168
173,202,312.7168
169,209,314.7168
162,220,316.7168
166,219,318.7168
174,214,320.7168
186,206,322.7168
184,211,324.7168
191,207,326.7168
192,210,328.7168
187,218,330.7168
199,209,332.7168
197,215,334.7168
204,211,336.7168
207,211,338.7168
204,218,340.7168
180,245,342.7168
181,247,344.7168
197,235,346.7168
202,233,348.7168
203,235,350.7168
206,236,352.7168
206,239,354.7168
191,257,356.7168
