Working,Lazy,time
76,103,250.2895
93,86,252.3569
95,84,254.3569
89,90,256.3894
77,102,258.4734
72,107,260.516
90,89,262.5526
88,91,264.6391
83,96,266.7127
86,92,268.7991
78,100,270.8924
85,93,272.9425
78,100,274.9425
96,82,276.9628
94,84,278.9628
87,91,280.9843
92,86,283.0301
85,93,285.0382
92,86,287.1356
88,90,289.1356
76,102,291.1618
86,92,293.183
68,110,295.2316
90,90,297.263
92,89,299.263
75,106,301.2671
93,89,303.2912
73,110,305.3062
102,84,307.3082
102,84,309.3082
76,110,311.339
100,86,313.3533
73,113,315.4076
88,98,317.4424
87,99,319.4424
59,127,321.4667
96,91,323.4698
63,125,325.49
92,95,327.5164
92,96,329.5164
57,131,331.5643
90,99,333.6408
50,140,335.6978
85,106,337.79
86,105,339.79
49,143,341.8756
99,96,343.9703
59,136,346.0349
104,92,348.0927
101,95,350.0927
65,133,352.1782
100,99,354.2778
56,143,356.3766
99,102,358.4686
101,103,360.4686
53,151,362.5672
96,110,364.5672
52,155,366.5672
95,113,368.6667
97,112,370.6667
56,155,372.6667
103,108,374.6667
55,159,376.6667
100,114,378.765
100,114,380.8634
50,164,382.9524
109,102,385.0455
61,152,387.0455
106,106,389.0455
103,110,391.0455
60,153,393.1339
102,108,395.1339
55,155,397.2123
104,103,399.3091
58,152,401.3944
98,110,403.4836
102,107,405.4836
53,157,407.5484
102,107,409.634
42,167,411.7009
92,118,413.7352
93,117,415.7352
39,172,417.7743
89,119,419.8537
45,163,421.8977
84,116,423.9001
82,118,425.9001
38,162,427.9739
90,106,430.0376
50,147,432.0376
96,100,434.0542
97,99,436.0542
45,151,438.0756
102,94,440.1635
56,141,442.2044
96,101,444.2493
95,103,446.2493
46,152,448.3042
106,92,450.3911
46,154,452.4495
97,100,454.4776
97,101,456.4776
52,147,458.4789
97,101,460.5564
53,146,462.5739
100,100,464.5848
99,101,466.5848
51,149,468.6167
92,109,470.7087
45,156,472.7822
104,96,474.8162
107,95,476.8162
56,147,478.8811
94,109,480.9761
52,152,483.0668
100,104,485.0668
57,149,487.0668
94,116,489.0668
90,122,491.0668
58,156,493.0668
117,99,495.0668
69,150,497.0668
111,108,499.0668
109,112,501.0668
73,151,503.0668
100,123,505.0668
70,156,507.0668
114,113,509.0668
112,117,511.0668
80,149,513.0668
113,114,515.0668
76,153,517.0668
117,111,519.0668
116,113,521.0668
86,146,523.0668
118,115,525.0668
88,148,527.0668
119,116,529.0668
116,123,531.0668
95,147,533.0668
103,141,535.0668
84,164,537.0668
122,127,539.0668
120,132,541.0668
104,152,543.0668
132,125,545.0668
108,152,547.0668
130,130,549.0668
121,142,551.0668
95,171,553.0668
132,138,555.0668
119,154,557.0668
136,140,559.0668
133,147,561.0668
121,162,563.0668
142,140,565.0668
126,160,567.0668
131,154,569.0668
128,159,571.0668
124,167,573.0668
134,158,575.0668
120,175,577.0668
143,151,579.0668
137,160,581.0668
129,171,583.0668
141,160,585.0668
136,168,587.0668
152,155,589.0668
147,164,591.0668
142,172,593.0668
158,158,595.0668
143,177,597.0668
156,166,599.0668
153,172,601.0668
139,190,603.0668
152,178,605.0668
153,180,607.0668
165,169,609.0668
161,176,611.0668
162,178,613.0668
160,183,615.0668
157,189,617.0668
172,175,619.0668
167,184,621.0668
164,190,623.0668
175,179,625.0668
172,186,627.0668
180,179,629.0668
181,181,631.0668
169,193,633.0668
167,192,635.0668
166,193,637.0668
178,182,639.0668
170,191,641.0668
168,194,643.0668
182,181,645.0668
180,184,647.0668
185,179,649.0668
171,193,651.0668
175,190,653.0668
170,197,655.0668
171,197,657.0668
183,184,659.0668
179,189,661.0668
174,196,663.0668
185,188,665.0668
188,186,667.0668
191,185,669.0668
185,192,671.0668
187,191,673.0668
174,204,675.0668
171,207,677.0668
200,178,679.0668
199,179,681.0668
199,179,683.0668
195,183,685.0668
194,184,687.0668
198,182,689.0668
196,184,691.0668
192,189,693.0668
190,193,695.0668
184,199,697.0668
183,201,699.0668
173,211,701.0668
169,216,703.0668
191,194,705.0668
188,197,707.0668
199,189,709.0668
190,198,711.0668
186,203,713.0668
191,199,715.0668
192,199,717.0668
185,206,719.0668
177,214,721.0668
172,221,723.0668
181,213,725.0668
175,220,727.0668
192,204,729.0668
190,209,731.0668
188,214,733.0668
191,213,735.0668
186,218,737.0668
209,195,739.0668
207,199,741.0668
204,205,743.0668
197,215,745.0668
199,216,747.0668
211,205,749.0668
