Working,Lazy,time
0,1,0
4,0,2.000182
6,2,4.002909
8,4,6.003566
9,7,8.008139
8,12,10.0118
12,12,12.01887
12,16,14.02271
16,16,16.04096
21,15,18.049
14,25,20.05839
20,23,22.07537
21,26,24.09176
18,33,26.11317
24,31,28.13688
29,30,30.16936
28,34,32.20004
37,29,34.21417
29,41,36.24059
31,43,38.26639
35,43,40.31633
35,47,42.37314
41,44,44.3854
44,45,46.4194
47,46,48.47944
43,54,50.52829
48,52,52.57299
49,51,54.57724
48,52,56.59156
45,55,58.63598
44,56,60.67785
43,57,62.72618
49,51,64.74873
45,55,66.79023
45,55,68.8503
42,58,70.89001
44,56,72.91431
43,57,74.95413
59,41,77.03456
58,42,79.07511
48,52,81.11131
48,52,83.13028
49,51,85.15948
41,59,87.17865
42,58,89.18263
44,56,91.23145
45,55,93.27232
45,55,95.31202
51,49,97.35808
51,49,99.39286
49,51,101.4023
48,52,103.441
50,50,105.4944
49,51,107.5151
44,58,109.5324
53,53,111.5373
59,47,113.5444
52,54,115.5546
53,55,117.6219
53,59,119.648
45,70,121.6826
57,61,123.7318
56,64,125.809
64,60,127.8345
69,58,129.8827
61,67,131.884
63,65,133.9219
67,64,135.9948
65,67,138.0132
64,68,140.0569
63,69,142.0634
63,69,144.1159
62,71,146.1542
59,74,148.1989
58,77,150.2521
62,74,152.3378
60,76,154.3436
60,76,156.4265
60,76,158.5067
56,81,160.5093
59,78,162.5515
62,77,164.563
56,87,166.6492
65,79,168.7083
62,82,170.7731
74,72,172.8275
71,78,174.8357
73,78,176.8402
83,69,178.9303
82,73,181.0218
71,84,183.0218
68,87,185.0303
69,86,187.0572
67,91,189.0572
69,92,191.1296
69,92,193.21
72,90,195.21
79,84,197.21
77,86,199.2409
82,81,201.3094
80,86,203.3094
78,88,205.3888
82,86,207.4014
84,84,209.4099
87,81,211.4434
83,85,213.4434
78,91,215.5056
81,89,217.5124
84,88,219.5736
86,86,221.6447
91,84,223.6447
91,85,225.7117
86,91,227.7773
86,92,229.8221
85,93,231.8412
85,93,233.8412
81,98,235.9058
86,93,237.9689
79,100,240.0259
97,82,242.1109
95,84,244.1109
91,88,246.1389
80,99,248.2189
