Working,Lazy,time
0,1,0
4,0,2.001715
8,0,4.004552
5,7,6.009354
8,8,8.011873
14,6,10.0179
15,9,12.01943
15,13,14.02334
13,19,16.02344
21,15,18.03326
17,22,20.03609
16,27,22.04955
26,21,24.05379
19,32,26.05755
24,31,28.0604
28,31,30.08369
33,29,32.08393
30,36,34.08874
30,40,36.12296
37,37,38.16184
32,46,40.16426
38,43,42.17019
38,47,44.20401
36,53,46.21381
41,52,48.24451
47,49,50.2925
50,50,52.3485
48,56,54.36764
44,64,56.38204
52,60,58.43255
60,56,60.49314
58,61,62.53618
70,51,64.54211
59,62,66.56776
57,64,68.58581
58,63,70.62167
61,60,72.65788
53,68,74.7038
52,69,76.74587
49,72,78.78007
55,66,80.83779
55,66,82.85384
55,66,84.86095
47,74,86.87913
46,75,88.89553
64,57,90.90364
59,62,92.93953
57,64,94.98107
54,67,97.02523
55,66,99.03999
53,68,101.0564
50,71,103.1021
52,69,105.1329
51,70,107.1946
50,71,109.2175
59,62,111.255
55,66,113.3082
62,59,115.3251
57,64,117.358
57,64,119.4168
52,69,121.4234
57,64,123.4469
57,64,125.4842
67,54,127.5234
60,61,129.5721
58,63,131.6124
66,55,133.665
66,57,135.7003
61,63,137.7392
59,65,139.778
54,70,141.8231
55,69,143.8697
51,73,145.8974
47,77,147.9554
49,75,149.965
55,69,151.965
55,69,153.9693
65,60,155.982
60,69,158.0222
64,69,160.0295
58,79,162.0307
67,73,164.0739
75,69,166.093
74,72,168.1299
76,72,170.1545
65,83,172.2278
65,83,174.3022
66,82,176.354
73,75,178.3975
71,77,180.4572
60,88,182.4883
63,85,184.5635
69,79,186.6141
68,80,188.6241
70,81,190.6704
66,85,192.6942
60,91,194.6967
63,90,196.7321
64,90,198.7502
65,89,200.7598
80,74,202.7876
78,76,204.8099
69,85,206.8657
71,83,208.8779
69,85,210.9048
69,85,212.9583
68,86,215.0069
76,78,217.0221
75,79,219.0683
74,80,221.1322
73,81,223.1335
73,81,225.1919
77,77,227.2013
73,81,229.2556
71,83,231.2876
71,83,233.3799
70,84,235.4339
69,85,237.4557
67,87,239.4773
61,93,241.4841
71,82,243.5241
74,79,245.5802
75,80,247.5992
77,79,249.6207
75,81,251.6841
71,85,253.6872
71,85,255.6986
69,87,257.7223
68,88,259.7437
