Working,Lazy,time
30,63,727.2667
38,54,729.3107
39,53,731.3386
26,67,733.3447
44,48,735.3834
36,57,737.4154
43,51,739.4489
44,53,741.4495
32,65,743.4558
52,43,745.4931
44,51,747.5015
43,51,749.5329
40,54,751.5393
32,63,753.5515
43,53,755.6099
42,57,757.6147
41,58,759.6562
42,58,761.6973
38,62,763.7233
42,57,765.7538
35,66,767.7584
43,57,769.7646
43,57,771.803
35,65,773.8424
47,52,775.8562
42,57,777.8885
53,45,779.9396
48,50,781.9724
49,49,784.0109
48,50,786.0546
43,55,788.0587
49,47,790.0804
44,52,792.1207
43,52,794.1526
46,49,796.1567
42,53,798.1983
46,49,800.2077
34,62,802.2402
37,59,804.2587
40,56,806.2991
42,54,808.3154
40,56,810.3553
36,60,812.3702
39,57,814.4106
39,58,816.4767
35,63,818.5104
45,55,820.5176
42,59,822.5346
50,51,824.5538
47,54,826.5672
46,56,828.5978
50,53,830.6053
49,54,832.6088
49,54,834.6569
44,59,836.7061
39,64,838.7513
51,50,840.8027
46,55,842.8104
49,52,844.8193
44,57,846.8555
46,55,848.8851
44,57,850.9063
43,58,852.9149
51,50,854.9409
50,51,856.9686
47,54,858.9966
45,56,861.0427
41,60,863.0464
49,52,865.084
45,56,867.1486
42,59,869.1713
40,60,871.1838
37,63,873.2245
43,57,875.2692
43,57,877.3175
40,60,879.3513
46,54,881.3962
43,57,883.4114
50,50,885.4323
40,60,887.4768
56,44,889.5105
49,51,891.5507
48,52,893.5895
54,46,895.624
46,54,897.6336
46,54,899.6398
45,55,901.6752
43,57,903.6826
43,57,905.721
33,68,907.7581
34,67,909.7651
37,64,911.7685
34,67,913.7727
47,54,915.7977
39,62,917.8103
44,57,919.8245
42,59,921.8433
34,67,923.847
43,58,925.8804
39,62,927.8809
54,47,929.9317
51,50,931.9564
45,56,933.9675
50,51,936.0034
43,58,938.0236
47,54,940.0583
43,58,942.0731
34,67,944.1028
48,53,946.136
43,59,948.1774
48,54,950.2253
47,56,952.2446
38,65,954.2708
48,55,956.3203
42,61,958.3519
48,55,960.3738
51,52,962.3777
41,63,964.4131
45,59,966.4269
39,66,968.4613
58,46,970.4661
57,47,972.4897
48,56,974.5374
44,60,976.5546
35,69,978.5771
51,53,980.5889
50,54,982.5973
40,64,984.61
51,53,986.6696
41,64,988.6926
50,54,990.7332
51,53,992.7451
46,58,994.7997
46,58,996.8287
42,62,998.8482
43,61,1000.858
41,63,1002.923
40,64,1004.949
47,56,1006.982
41,62,1008.988
56,47,1011.023
49,54,1013.074
43,60,1015.119
47,56,1017.166
41,63,1019.217
41,61,1021.228
43,60,1023.283
45,58,1025.311
43,60,1027.331
41,62,1029.341
44,59,1031.393
39,65,1033.438
50,54,1035.452
49,56,1037.51
50,55,1039.55
52,53,1041.581
43,63,1043.589
42,63,1045.61
43,62,1047.61
36,69,1049.61
50,54,1051.664
39,65,1053.67
47,56,1055.736
47,56,1057.738
47,57,1059.753
54,50,1061.81
47,57,1063.868
50,55,1065.87
46,61,1067.901
44,65,1069.94
59,51,1071.978
54,56,1074.026
48,63,1076.042
50,61,1078.075
47,64,1080.097
47,64,1082.16
43,68,1084.191
54,57,1086.198
56,55,1088.208
45,66,1090.227
51,60,1092.282
47,64,1094.286
52,59,1096.328
52,59,1098.337
45,66,1100.34
50,61,1102.368
38,73,1104.38
58,53,1106.437
56,55,1108.474
51,60,1110.501
57,54,1112.559
48,63,1114.596
53,58,1116.643
44,67,1118.687
55,56,1120.728
54,57,1122.791
45,66,1124.8
50,61,1126.847
42,69,1128.895
47,63,1130.97
47,63,1132.99
40,70,1135.007
49,61,1137.056
45,65,1139.089
56,54,1141.091
53,57,1143.14
46,64,1145.18
51,59,1147.222
48,62,1149.242
57,53,1151.288
57,53,1153.313
49,61,1155.359
49,61,1157.412
43,67,1159.447
